"Survived","Pclass","Sex","SibSp","Parch","Fare","GrupoEdad"
"Si","1","female",0,0,77.9583,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"No","3","male",0,0,7.7333,"Adultos"
"Si","1","male",0,0,30,"3ra Edad"
"No","3","male",0,0,7.0542,"Adultos"
"Si","1","male",0,0,30.5,"Adultos"
"No","1","male",0,0,35.5,"Adultos"
"No","3","female",3,2,27.9,"Niños"
"Si","2","female",0,0,13,"Adultos"
"No","3","male",0,0,7.925,"Adultos"
"No","2","male",1,1,26.25,"Adultos"
"No","3","female",0,5,39.6875,"Adultos"
"No","3","male",1,0,16.1,"Adultos"
"No","3","male",0,0,7.8542,"Adultos"
"Si","1","female",0,0,69.3,"Adultos"
"No","3","female",3,2,27.9,"Niños"
"Si","3","male",0,0,56.4958,"Adultos"
"Si","3","female",2,1,19.2583,"Niños"
"Si","1","male",1,0,76.7292,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"Si","1","male",0,0,35.5,"Adultos"
"No","3","male",0,0,7.55,"Adultos"
"Si","3","female",0,0,7.55,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"Si","2","female",0,1,23,"Adultos"
"No","3","male",0,0,8.4333,"Adultos"
"Si","3","female",0,0,7.8292,"Adultos"
"No","3","female",0,0,6.75,"Adultos"
"No","2","male",2,0,73.5,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"No","3","female",1,1,15.5,"Adultos"
"No","2","male",0,0,13,"Adultos"
"No","1","male",0,2,113.275,"Adultos"
"Si","1","male",2,0,133.65,"Adultos"
"No","3","male",0,0,7.225,"Adultos"
"No","1","male",0,0,25.5875,"Adultos"
"No","3","male",0,0,7.4958,"Adultos"
"Si","3","male",1,0,7.925,"Adultos"
"No","2","male",2,0,73.5,"Adultos"
"No","2","male",0,0,13,"Adultos"
"No","3","male",0,0,7.775,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"Si","1","female",1,0,52,"Adultos"
"Si","2","female",1,1,39,"Adultos"
"No","1","male",1,0,52,"Adultos"
"No","2","male",0,0,10.5,"3ra Edad"
"Si","2","male",0,0,13,"Adultos"
"No","2","male",0,0,13,"Adultos"
"No","3","male",0,0,7.775,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"Si","3","female",0,0,9.8417,"Adultos"
"No","3","female",0,0,8.1375,"Adultos"
"Si","1","male",0,0,76.7292,"Adultos"
"No","3","male",0,0,9.225,"Adultos"
"No","3","male",5,2,46.9,"Niños"
"No","2","male",1,1,39,"Adultos"
"No","2","male",1,2,41.5792,"Adultos"
"No","3","male",4,1,39.6875,"Niños"
"No","3","male",0,0,10.1708,"Adultos"
"No","3","male",0,0,7.7958,"Adultos"
"Si","1","female",0,1,211.3375,"Adultos"
"Si","1","male",1,0,57,"Adultos"
"Si","3","female",0,1,13.4167,"Niños"
"Si","3","male",0,0,56.4958,"Adultos"
"No","3","male",0,0,7.225,"Adultos"
"No","1","male",0,0,26.55,"Adultos"
"No","2","male",0,0,13.5,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"Si","3","female",0,0,7.7333,"Adultos"
"No","1","male",1,1,110.8833,"Adultos"
"No","3","male",0,0,7.65,"Adultos"
"Si","1","female",1,0,227.525,"Adultos"
"Si","1","male",0,0,26.2875,"Adultos"
"No","3","female",0,1,14.4542,"Adultos"
"No","3","male",0,0,7.7417,"Adultos"
"No","3","male",1,0,7.8542,"Adultos"
"No","2","male",0,0,26,"Adultos"
"Si","2","female",0,0,13.5,"Adultos"
"Si","1","male",0,0,26.2875,"Adultos"
"Si","1","female",0,0,151.55,"Adultos"
"Si","3","male",1,1,15.2458,"Niños"
"Si","1","female",0,0,49.5042,"Adultos"
"No","1","male",0,0,26.55,"3ra Edad"
"Si","1","male",1,0,52,"Adultos"
"No","3","male",0,0,9.4833,"Adultos"
"No","2","male",0,0,13,"Adultos"
"No","3","male",0,0,7.65,"Adultos"
"Si","1","female",0,0,227.525,"Adultos"
"Si","2","female",0,0,10.5,"Adultos"
"No","3","male",0,0,15.5,"Adultos"
"No","3","male",0,0,7.775,"Adultos"
"Si","2","female",0,1,33,"Niños"
"No","3","male",1,0,7.0542,"Adultos"
"No","2","male",0,0,13,"Adultos"
"No","2","male",0,0,13,"Adultos"
"Si","1","male",1,0,53.1,"Adultos"
"No","3","male",0,0,8.6625,"Adultos"
"Si","2","female",3,0,21,"Adultos"
"Si","3","female",0,0,7.7375,"Adultos"
"No","2","male",1,0,26,"Adultos"
"No","3","female",1,0,7.925,"Adultos"
"Si","1","female",0,0,211.3375,"Adultos"
"No","3","male",0,0,18.7875,"Niños"
"No","2","male",0,0,13,"Adultos"
"No","2","male",0,0,13,"Adultos"
"No","2","male",0,0,13,"Adultos"
"No","3","male",0,0,16.1,"Adultos"
"No","3","female",1,3,34.375,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"Si","1","male",0,0,30,"Adultos"
"No","1","male",1,0,78.85,"Adultos"
"Si","1","female",2,2,262.375,"Adultos"
"No","3","male",1,0,16.1,"Adultos"
"Si","3","male",0,0,7.925,"Adultos"
"No","1","male",1,1,71,"3ra Edad"
"No","3","male",1,1,20.25,"Adultos"
"Si","2","female",0,0,13,"Adultos"
"No","1","male",1,0,53.1,"Adultos"
"No","3","male",0,0,7.75,"Adultos"
"Si","2","female",1,1,23,"Niños"
"Si","3","male",0,1,12.475,"Niños"
"No","3","male",0,0,9.5,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"Si","2","female",1,2,65,"Adultos"
"Si","2","male",1,1,14.5,"Niños"
"No","3","male",0,0,7.7958,"Adultos"
"No","2","male",0,0,11.5,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"Si","1","female",0,0,86.5,"Adultos"
"No","3","male",0,0,14.5,"Adultos"
"No","3","male",0,0,7.125,"Adultos"
"Si","3","male",0,0,7.2292,"Adultos"
"Si","1","female",1,2,120,"Adultos"
"No","3","male",0,0,7.775,"Adultos"
"Si","1","female",1,0,77.9583,"Adultos"
"No","1","male",0,0,39.6,"Adultos"
"No","3","female",0,0,7.75,"Adultos"
"No","3","male",1,0,24.15,"Adultos"
"No","3","male",0,0,8.3625,"Adultos"
"No","3","male",0,0,9.5,"Adultos"
"No","3","male",0,0,7.8542,"Adultos"
"No","2","female",0,0,10.5,"Adultos"
"No","3","male",0,0,7.225,"Adultos"
"Si","2","female",1,3,23,"Adultos"
"No","3","male",0,0,7.75,"Adultos"
"No","3","male",0,0,7.75,"Adultos"
"Si","3","female",0,0,12.475,"Niños"
"No","3","male",0,0,7.7375,"Adultos"
"Si","1","female",0,1,211.3375,"Adultos"
"Si","3","female",0,0,7.2292,"Niños"
"Si","1","female",1,0,57,"Adultos"
"No","1","male",0,0,30,"Adultos"
"No","3","male",1,2,23.45,"Adultos"
"No","3","male",0,0,7.05,"Adultos"
"No","3","male",0,0,7.25,"Adultos"
"Si","3","female",0,0,7.4958,"Adultos"
"No","3","male",4,1,29.125,"Niños"
"Si","3","male",1,2,20.575,"Niños"
"No","1","male",0,0,79.2,"Adultos"
"No","3","male",0,0,7.75,"Adultos"
"No","2","male",0,0,26,"Adultos"
"No","1","male",0,0,30.6958,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"No","2","male",0,0,13,"Adultos"
"Si","1","female",0,0,25.9292,"Adultos"
"Si","3","female",0,0,8.6833,"Adultos"
"No","3","male",0,0,7.2292,"Adultos"
"No","3","female",1,1,24.15,"Adultos"
"No","2","male",0,0,13,"Adultos"
"Si","2","female",1,1,26.25,"Adultos"
"Si","1","male",1,2,120,"Niños"
"Si","3","male",0,1,8.5167,"Niños"
"Si","3","male",0,0,6.975,"Adultos"
"No","3","male",0,0,7.775,"Adultos"
"No","1","male",0,0,35.5,"Adultos"
"No","3","female",0,0,7.775,"Adultos"
"No","2","male",0,0,13,"Adultos"
"Si","1","female",1,0,53.1,"Adultos"
"No","3","male",0,0,7.8875,"Adultos"
"No","3","male",0,0,24.15,"Adultos"
"No","2","male",0,0,10.5,"Adultos"
"No","3","female",4,2,31.275,"Niños"
"No","3","male",0,0,8.05,"Adultos"
"No","1","male",0,0,35.5,"Adultos"
"No","3","female",0,0,7.925,"Adultos"
"No","2","male",1,1,37.0042,"Adultos"
"No","3","male",0,0,6.45,"Adultos"
"No","3","male",3,2,27.9,"Niños"
"Si","1","female",1,1,93.5,"Adultos"
"Si","3","male",0,0,8.6625,"Adultos"
"No","1","male",0,0,27.7208,"Adultos"
"Si","3","female",0,1,12.475,"Adultos"
"No","3","male",4,1,39.6875,"Niños"
"No","3","male",0,0,6.95,"Adultos"
"No","3","male",0,0,56.4958,"Adultos"
"Si","2","male",0,2,37.0042,"Niños"
"Si","3","male",0,0,7.75,"Adultos"
"Si","1","female",0,0,80,"3ra Edad"
"Si","3","female",1,0,14.4542,"Adultos"
"Si","2","male",1,1,18.75,"Niños"
"No","3","male",0,0,7.2292,"Adultos"
"No","3","male",0,0,7.8542,"Adultos"
"No","3","male",0,0,8.3,"Adultos"
"Si","1","female",1,1,83.1583,"Adultos"
"No","3","male",0,0,8.6625,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"Si","3","male",0,0,56.4958,"Adultos"
"Si","1","male",0,0,29.7,"Adultos"
"No","3","male",0,0,7.925,"Adultos"
"No","2","male",0,0,10.5,"Adultos"
"Si","1","female",0,0,31,"Adultos"
"No","3","male",0,0,6.4375,"Adultos"
"No","3","male",0,0,8.6625,"Adultos"
"No","3","male",0,0,7.55,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"No","2","male",0,1,33,"Adultos"
"Si","1","female",1,0,89.1042,"Adultos"
"No","3","male",4,2,31.275,"Niños"
"No","3","male",0,0,7.775,"3ra Edad"
"No","3","female",1,1,15.2458,"Niños"
"Si","1","female",0,1,39.4,"Adultos"
"No","2","female",1,0,26,"Adultos"
"Si","3","female",0,1,9.35,"Adultos"
"Si","1","female",1,1,164.8667,"Adultos"
"Si","1","male",0,0,26.55,"Adultos"
"Si","3","female",0,3,19.2583,"Adultos"
"No","3","male",0,0,7.2292,"Adultos"
"No","3","male",2,0,14.1083,"Adultos"
"No","2","male",1,0,11.5,"Adultos"
"Si","1","female",0,0,25.9292,"Adultos"
"No","2","male",0,0,13,"Adultos"
"Si","2","female",0,0,13,"Adultos"
"Si","2","female",1,0,13.8583,"Adultos"
"No","1","male",0,0,50.4958,"Adultos"
"No","3","male",0,0,9.5,"Adultos"
"Si","3","male",1,1,11.1333,"Niños"
"No","3","male",0,0,7.8958,"Adultos"
"Si","1","female",1,1,52.5542,"Adultos"
"No","1","male",0,0,5,"Adultos"
"No","3","male",0,0,9,"Adultos"
"Si","2","female",1,0,24,"Adultos"
"Si","3","female",0,0,7.225,"Adultos"
"No","3","male",0,0,9.8458,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"Si","1","female",0,1,83.1583,"Adultos"
"Si","2","female",0,1,26,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"No","3","female",0,0,10.5167,"Adultos"
"No","2","male",0,0,10.5,"Adultos"
"No","3","male",0,0,7.05,"Adultos"
"No","3","female",0,5,29.125,"Adultos"
"No","2","male",0,0,13,"Adultos"
"Si","1","female",0,0,30,"Adultos"
"No","3","female",1,2,23.45,"Adultos"
"Si","1","male",0,0,30,"Adultos"
"No","3","male",0,0,7.75,"Adultos"
